"","ResponseId","Consent_Page","Age","Experience","Familiarity","Healthcare","Channel","Channel_4_TEXT","Healthcare_Level","Healthcare_Level_7_TEXT","Healthcare_Setting","Healthcare_Setting_4_TEXT","Healthcare_Security","Baseline_Response_1","Baseline_Response_2","Baseline_Response_3","Baseline_Response_4","Baseline_Response_5","Baseline_Response_6","Att_Check","V1_B_NM","V1_B_M","V2_B_NM","V2_B_M","V3_B_NM","V3_B_M","V4_B_NM","V4_B_M","V5_B_NM","V5_B_M","V6_B_NM","V6_B_M","V7_B_NM","V7_B_M","V8_B_NM","V8_B_M","V1_AI_NM","V1_AI_M","V2_AI_NM","V2_AI_M","V3_AI_NM","V3_AI_M","V4_AI_NM","V4_AI_M","V5_AI_NM","V5_AI_M","V6_AI_NM","V6_AI_M","V7_AI_NM","V7_AI_M","V8_AI_NM","V8_AI_M","V1_F_NM","V1_F_M","V2_F_NM","V2_F_M","V3_F_NM","V3_F_M","V4_F_NM","V4_F_M","V5_F_NM","V5_F_M","V6_F_NM","V6_F_M","V7_F_NM","V7_F_M","V8_F_NM","V8_F_M","Gender","Country","Country_3_TEXT","Ethnicity","Race","Education","Police_1","Police_2","Police_3","Police_4","Police_5","Politic","Group","Rec_Type","Stratified","V1_Race","V2_Race","V3_Race","V4_Race","V5_Race","V6_Race","V7_Race","V8_Race","V1_Religion","V2_Religion","V3_Religion","V4_Religion","V5_Religion","V6_Religion","V7_Religion","V8_Religion","V1_Random","V1_Rec","V2_Random","V2_Rec","V3_Random","V3_Rec","V4_Random","V4_Rec","V5_Random","V5_Rec","V6_Random","V6_Rec","V7_Random","V7_Rec","V8_Random","V8_Rec","V1_Flag","V2_Flag","V3_Flag","V4_Flag","V5_Flag","V6_Flag","V7_Flag","V8_Flag"
"11",11,"Yes, I agree to participate in this study","25 - 34","No","Probably yes","Yes","Through my employer","","Resident physician","","Hospital","","Yes","Medical Help","Medical Help","Medical Help","Medical Help","Police Assistance","Police Assistance","Individual fell down the stairs and is injured","","","","","","","","","","","","","","","","","","Send emergency medical help to the caller's location","","Send emergency medical help to the caller's location","Send emergency medical help to the caller's location","","Contact the police department for immediate assistance","","Send emergency medical help to the caller's location","","Send emergency medical help to the caller's location","","","Contact the police department for immediate assistance","Send emergency medical help to the caller's location","","","","","","","","","","","","","","","","","","Female","United States of America","","No","Asian","Doctoral degree","Disagree","Disagree","Agree","Agree","Agree","Democratic Party","Unbiased","Explicit","True","African American","Caucasian","Caucasian","African American","African American","Caucasian","Caucasian","African American","Muslim","Muslim","Not","Not","Not","Not","Muslim","Not","43","police","77","medical","62","medical","8","police","96","medical","3","police","12","police","48","medical","🚩 Our AI system has flagged this call for risk of violence","","","🚩 Our AI system has flagged this call for risk of violence","","🚩 Our AI system has flagged this call for risk of violence","🚩 Our AI system has flagged this call for risk of violence",""
"12",12,"Yes, I agree to participate in this study","25 - 34","No","Definitely yes","Yes","Through my employer","","Resident physician","","Hospital","","Yes","Medical Help","Medical Help","Police Assistance","Medical Help","Police Assistance","Police Assistance","Individual fell down the stairs and is injured","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Contact the police department for immediate assistance","","Contact the police department for immediate assistance","","","Send emergency medical help to the caller's location","Contact the police department for immediate assistance","","","Contact the police department for immediate assistance","Contact the police department for immediate assistance","","Contact the police department for immediate assistance","","","Send emergency medical help to the caller's location","Male","United States of America","","No","White or Caucasian","Professional degree (JD, MD)","Neutral","Neutral","Agree","Neutral","Disagree","Democratic Party","Biased","Flag","True","African American","Caucasian","Caucasian","African American","Caucasian","Caucasian","African American","African American","Not","Not","Muslim","Not","Muslim","Not","Not","Muslim","99","medical","24","police","18","police","17","police","54","police","35","medical","15","police","42","police","","🚩 Our AI system has flagged this call for risk of violence","🚩 Our AI system has flagged this call for risk of violence","🚩 Our AI system has flagged this call for risk of violence","🚩 Our AI system has flagged this call for risk of violence","","🚩 Our AI system has flagged this call for risk of violence","🚩 Our AI system has flagged this call for risk of violence"
"13",13,"Yes, I agree to participate in this study","25 - 34","No","Definitely yes","Yes","Through my employer","","Resident physician","","Hospital","","Yes","Medical Help","Medical Help","Police Assistance","Medical Help","Police Assistance","Police Assistance","Individual fell down the stairs and is injured","","","","","","","","","","","","","","","","","","Contact the police department for immediate assistance","Send emergency medical help to the caller's location","","Send emergency medical help to the caller's location","","Contact the police department for immediate assistance","","","Send emergency medical help to the caller's location","Contact the police department for immediate assistance","","","Contact the police department for immediate assistance","Send emergency medical help to the caller's location","","","","","","","","","","","","","","","","","","Male","United States of America","","No","Asian","Professional degree (JD, MD)","Agree","Agree","Agree","Neutral","Disagree","Prefer not to say","Unbiased","Explicit","True","Caucasian","African American","African American","Caucasian","Caucasian","African American","African American","Caucasian","Muslim","Not","Not","Not","Muslim","Not","Muslim","Not","54","medical","89","medical","84","medical","4","police","3","police","8","police","19","police","91","medical","","","","🚩 Our AI system has flagged this call for risk of violence","🚩 Our AI system has flagged this call for risk of violence","🚩 Our AI system has flagged this call for risk of violence","🚩 Our AI system has flagged this call for risk of violence",""
"14",14,"Yes, I agree to participate in this study","25 - 34","No","Definitely yes","Yes","Through my employer","","Resident physician","","Hospital","","Yes","Medical Help","Medical Help","Medical Help","Medical Help","Police Assistance","Police Assistance","Individual fell down the stairs and is injured","Contact the police department for immediate assistance","","Send emergency medical help to the caller's location","","Send emergency medical help to the caller's location","","","Contact the police department for immediate assistance","","Send emergency medical help to the caller's location","Contact the police department for immediate assistance","","Contact the police department for immediate assistance","","","Send emergency medical help to the caller's location","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Male","United States of America","","No","White or Caucasian","Professional degree (JD, MD)","Agree","Neutral","Disagree","Agree","Neutral","Democratic Party","Baseline","Flag","True","African American","Caucasian","Caucasian","Caucasian","African American","African American","Caucasian","African American","Not","Not","Not","Muslim","Muslim","Not","Not","Muslim","","","","","","","","","","","","","","","","","","","","","","","",""
"15",15,"Yes, I agree to participate in this study","25 - 34","No","Definitely yes","Yes","Through my employer","","Resident physician","","Hospital","","Yes","Medical Help","Medical Help","Police Assistance","Police Assistance","Police Assistance","Police Assistance","Individual fell down the stairs and is injured","Contact the police department for immediate assistance","","Contact the police department for immediate assistance","","","Contact the police department for immediate assistance","","Contact the police department for immediate assistance","Contact the police department for immediate assistance","","","Contact the police department for immediate assistance","Contact the police department for immediate assistance","","Contact the police department for immediate assistance","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Male","United States of America","","No","White or Caucasian","Professional degree (JD, MD)","Agree","Agree","Agree","Neutral","Disagree","None (i.e. Independent)","Baseline","Explicit","True","African American","Caucasian","Caucasian","Caucasian","African American","Caucasian","African American","African American","Not","Not","Muslim","Muslim","Not","Muslim","Not","Not","","","","","","","","","","","","","","","","","","","","","","","",""
"16",16,"Yes, I agree to participate in this study","25 - 34","No","Probably yes","Yes","Through my employer","","Resident physician","","Hospital","","Yes","Medical Help","Medical Help","Medical Help","Medical Help","Police Assistance","Police Assistance","Individual fell down the stairs and is injured","","","","","","","","","","","","","","","","","","Contact the police department for immediate assistance","Send emergency medical help to the caller's location","","Send emergency medical help to the caller's location","","","Contact the police department for immediate assistance","Send emergency medical help to the caller's location","","","Contact the police department for immediate assistance","Contact the police department for immediate assistance","","Contact the police department for immediate assistance","","","","","","","","","","","","","","","","","","Male","United States of America","","No","White or Caucasian","Professional degree (JD, MD)","Agree","Neutral","Neutral","Neutral","Disagree","Republican Party","Unbiased","Explicit","True","Caucasian","African American","African American","Caucasian","African American","African American","Caucasian","Caucasian","Muslim","Not","Not","Muslim","Not","Muslim","Not","Not","36","police","50","medical","5","police","13","police","64","medical","68","medical","34","medical","62","medical","🚩 Our AI system has flagged this call for risk of violence","","🚩 Our AI system has flagged this call for risk of violence","🚩 Our AI system has flagged this call for risk of violence","","","",""
"17",17,"Yes, I agree to participate in this study","25 - 34","No","Definitely yes","Yes","5","","Resident physician","","Hospital","","Yes","Medical Help","Medical Help","Police Assistance","Medical Help","Police Assistance","Police Assistance","Individual fell down the stairs and is injured","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Contact the police department for immediate assistance","","","Send emergency medical help to the caller's location","","Send emergency medical help to the caller's location","Contact the police department for immediate assistance","","","Contact the police department for immediate assistance","Send emergency medical help to the caller's location","","Contact the police department for immediate assistance","","Send emergency medical help to the caller's location","","Male","United States of America","","No","White or Caucasian","Professional degree (JD, MD)","Agree","Agree","Agree","Neutral","Neutral","Democratic Party","Biased","Flag","True","Caucasian","Caucasian","Caucasian","African American","African American","African American","Caucasian","African American","Not","Muslim","Muslim","Not","Muslim","Not","Not","Not","40","police","54","police","37","police","50","police","70","police","6","police","60","medical","62","police","🚩 Our AI system has flagged this call for risk of violence","🚩 Our AI system has flagged this call for risk of violence","🚩 Our AI system has flagged this call for risk of violence","🚩 Our AI system has flagged this call for risk of violence","🚩 Our AI system has flagged this call for risk of violence","🚩 Our AI system has flagged this call for risk of violence","","🚩 Our AI system has flagged this call for risk of violence"
"18",18,"Yes, I agree to participate in this study","25 - 34","No","Definitely yes","Yes","Through my employer","","Resident physician","","Hospital","","Yes","Medical Help","Medical Help","Medical Help","Medical Help","Police Assistance","Police Assistance","Individual fell down the stairs and is injured","","","","","","","","","","","","","","","","","Send emergency medical help to the caller's location","","Send emergency medical help to the caller's location","","Send emergency medical help to the caller's location","","Contact the police department for immediate assistance","","","Send emergency medical help to the caller's location","","Send emergency medical help to the caller's location","","Contact the police department for immediate assistance","Contact the police department for immediate assistance","","","","","","","","","","","","","","","","","","Male","United States of America","","No","White or Caucasian","Professional degree (JD, MD)","Agree","Agree","Agree","Neutral","Disagree","Democratic Party","Unbiased","Explicit","True","Caucasian","African American","African American","African American","Caucasian","Caucasian","Caucasian","African American","Not","Not","Not","Not","Muslim","Muslim","Muslim","Not","35","police","5","police","43","medical","47","medical","62","medical","90","medical","51","medical","54","medical","🚩 Our AI system has flagged this call for risk of violence","🚩 Our AI system has flagged this call for risk of violence","","","","","",""
"19",19,"Yes, I agree to participate in this study","35 - 44","No","Probably yes","Yes","Other source (please specify)","Meharry Medical College ","Resident physician","","Hospital","","Yes","Medical Help","Medical Help","Police Assistance","Medical Help","Police Assistance","Police Assistance","Individual fell down the stairs and is injured","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Send emergency medical help to the caller's location","Send emergency medical help to the caller's location","","","Send emergency medical help to the caller's location","Contact the police department for immediate assistance","","Contact the police department for immediate assistance","","Send emergency medical help to the caller's location","","Contact the police department for immediate assistance","","","Send emergency medical help to the caller's location","Male","United States of America","","No","Black or African American","Professional degree (JD, MD)","Agree","Neutral","Agree","Agree","Disagree","None (i.e. Independent)","Unbiased","Flag","True","African American","Caucasian","Caucasian","Caucasian","African American","African American","African American","Caucasian","Muslim","Not","Muslim","Not","Not","Not","Not","Muslim","55","medical","19","police","62","medical","5","police","9","police","82","medical","14","police","31","medical","","🚩 Our AI system has flagged this call for risk of violence","","🚩 Our AI system has flagged this call for risk of violence","🚩 Our AI system has flagged this call for risk of violence","","🚩 Our AI system has flagged this call for risk of violence",""
"20",20,"Yes, I agree to participate in this study","25 - 34","No","Probably yes","Yes","3","","Resident physician","","Hospital","","Yes","Medical Help","Medical Help","Police Assistance","Police Assistance","Police Assistance","Police Assistance","Individual fell down the stairs and is injured","","","","","","","","","","","","","","","","","","Send emergency medical help to the caller's location","","Send emergency medical help to the caller's location","Send emergency medical help to the caller's location","","Contact the police department for immediate assistance","","Send emergency medical help to the caller's location","","","Contact the police department for immediate assistance","Contact the police department for immediate assistance","","Send emergency medical help to the caller's location","","","","","","","","","","","","","","","","","","Male","United States of America","","No","Prefer not to say","Professional degree (JD, MD)","Neutral","Agree","Agree","Agree","Neutral","Prefer not to say","Unbiased","Explicit","True","African American","Caucasian","African American","Caucasian","African American","Caucasian","African American","Caucasian","Muslim","Muslim","Not","Not","Not","Muslim","Not","Not","63","medical","70","medical","49","medical","52","medical","19","police","18","medical","43","medical","30","medical","","","","","🚩 Our AI system has flagged this call for risk of violence","","",""
"21",21,"Yes, I agree to participate in this study","25 - 34","No","Probably yes","Yes","Through my employer","","Resident physician","","Hospital","","Yes","Medical Help","Medical Help","Medical Help","Medical Help","Police Assistance","Police Assistance","Individual fell down the stairs and is injured","","","","","","","","","","","","","","","","","Contact the police department for immediate assistance","","Send emergency medical help to the caller's location","","Contact the police department for immediate assistance","","","Contact the police department for immediate assistance","","Send emergency medical help to the caller's location","Contact the police department for immediate assistance","","Contact the police department for immediate assistance","","","Send emergency medical help to the caller's location","","","","","","","","","","","","","","","","","Female","United States of America","","No","White or Caucasian","Professional degree (JD, MD)","Agree","Neutral","Agree","Neutral","Disagree","Democratic Party","Unbiased","Explicit","True","African American","Caucasian","African American","African American","African American","Caucasian","Caucasian","Caucasian","Not","Not","Not","Muslim","Muslim","Not","Not","Muslim","17","police","100","medical","28","police","31","medical","26","medical","6","police","87","medical","38","medical","🚩 Our AI system has flagged this call for risk of violence","","🚩 Our AI system has flagged this call for risk of violence","","","🚩 Our AI system has flagged this call for risk of violence","",""
"22",22,"Yes, I agree to participate in this study","25 - 34","No","Definitely yes","Yes","3","","Other physician","","Hospital","","Yes","Medical Help","Medical Help","Medical Help","Medical Help","Police Assistance","Police Assistance","Individual fell down the stairs and is injured","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Contact the police department for immediate assistance","","","Send emergency medical help to the caller's location","","Send emergency medical help to the caller's location","Contact the police department for immediate assistance","","Contact the police department for immediate assistance","","","Contact the police department for immediate assistance","Contact the police department for immediate assistance","","Contact the police department for immediate assistance","","Male","United States of America","","No","White or Caucasian","Professional degree (JD, MD)","Agree","Agree","Agree","Disagree","Disagree","Republican Party","Biased","Flag","True","African American","African American","Caucasian","African American","Caucasian","Caucasian","African American","Caucasian","Not","Muslim","Muslim","Not","Not","Muslim","Not","Not","84","police","69","police","59","police","83","medical","98","medical","91","medical","40","police","23","medical","🚩 Our AI system has flagged this call for risk of violence","🚩 Our AI system has flagged this call for risk of violence","🚩 Our AI system has flagged this call for risk of violence","","","","🚩 Our AI system has flagged this call for risk of violence",""
"23",23,"Yes, I agree to participate in this study","25 - 34","No","Probably yes","Yes","Through my employer","","Resident physician","","Hospital","","Yes","Medical Help","Medical Help","Police Assistance","Police Assistance","Police Assistance","Police Assistance","Individual fell down the stairs and is injured","","","","","","","","","","","","","","","","","Send emergency medical help to the caller's location","","","Send emergency medical help to the caller's location","Send emergency medical help to the caller's location","","","Contact the police department for immediate assistance","Send emergency medical help to the caller's location","","Contact the police department for immediate assistance","","Contact the police department for immediate assistance","","","Send emergency medical help to the caller's location","","","","","","","","","","","","","","","","","Female","United States of America","","No","White or Caucasian","Doctoral degree","Agree","Agree","Agree","Disagree","Disagree","Republican Party","Biased","Explicit","True","African American","African American","Caucasian","Caucasian","Caucasian","Caucasian","African American","African American","Not","Muslim","Not","Muslim","Not","Not","Not","Muslim","57","police","41","police","48","medical","88","medical","95","medical","39","medical","19","police","79","police","🚩 Our AI system has flagged this call for risk of violence","🚩 Our AI system has flagged this call for risk of violence","","","","","🚩 Our AI system has flagged this call for risk of violence","🚩 Our AI system has flagged this call for risk of violence"
